URL,Inbound_Links,Parent,Locale,Page_Type,Orphan
https://souliography.com/en/,40,/,en,homepage,NO
https://souliography.com/en/report/,40,/en/,en,report,NO
https://souliography.com/en/contact/,40,/en/,en,contact,NO
https://souliography.com/en/destiny-matrix/arcana/1-the-magician/,40,/en/destiny-matrix/arcana/,en,arcana_detail,NO
https://souliography.com/en/destiny-matrix/birthdays/january-1/,40,/en/destiny-matrix/birthdays/,en,birthday_detail,NO
https://souliography.com/en/numerology/life-path-number/1/,40,/en/numerology/,en,numerology_number,NO
